StateCode,StateName,DistrictCode,NameofCity,Level,PopulationPersons,PopulationMales,PopulationFemale,0-6PopulationPersons,0-6PopulationMales,0-6PopulationFemales,LiteratesPersons,LiterateMales,LiteratesFemales,SexRatio,0-6ChildSexRatio,EffLiteracyRatePersons,EffLiteracyRateMales,EffLiteracyRatesFemales
09,UTTAR PRADESH,66,Varanasi UA,UA,"14,35,113","7,61,060","6,74,053","1,57,482","83,895","73,587","10,26,032","5,73,353","4,52,679",886,877,80.31,84.67,75.39
09,UTTAR PRADESH,07,Meerut UA,UA,"14,24,908","7,54,857","6,70,051","1,76,770","95,685","81,085","9,77,188","5,52,000","4,25,188",888,847,78.29,83.74,72.19
09,UTTAR PRADESH,44,Allahabad UA,UA,"12,16,719","6,55,734","5,60,985","1,12,023","59,807","52,216","9,50,676","5,35,385","4,15,291",856,873,86.06,89.84,81.63
09,UTTAR PRADESH,19,Bareilly UA,UA,"9,79,933","5,22,385","4,57,548","1,04,560","55,307","49,253","6,21,228","3,50,726","2,70,502",876,891,70.97,75.09,66.25
09,UTTAR PRADESH,12,Aligarh UA,UA,"9,09,559","4,82,828","4,26,731","1,18,778","63,420","55,358","5,57,833","3,17,990","2,39,843",884,873,70.54,75.82,64.58
09,UTTAR PRADESH,04,Moradabad (M Corp.),City,"8,89,810","4,66,432","4,23,378","1,10,376","57,999","52,377","5,50,637","3,02,447","2,48,190",908,903,70.65,74.05,66.90
09,UTTAR PRADESH,01,Saharanpur (M Corp.),City,"7,03,345","3,71,858","3,31,487","88,501","47,024","41,477","4,79,218","2,65,417","2,13,801",891,882,77.94,81.71,73.72
09,UTTAR PRADESH,57,Gorakhpur UA,UA,"6,92,519","3,65,148","3,27,371","65,078","34,478","30,600","5,37,356","2,99,268","2,38,088",897,888,85.64,90.50,80.23
09,UTTAR PRADESH,10,Noida (CT),CT,"6,42,381","3,52,577","2,89,804","83,530","44,493","39,037","4,95,045","2,86,216","2,08,829",822,877,88.58,92.90,83.28
09,UTTAR PRADESH,16,Firozabad (NPP),City,"6,03,797","3,21,624","2,82,173","82,439","43,543","38,896","3,65,347","2,08,434","1,56,913",877,893,70.08,74.95,64.50
09,UTTAR PRADESH,35,Jhansi UA,UA,"5,49,391","2,92,497","2,56,894","56,230","30,199","26,031","4,16,266","2,35,174","1,81,092",878,862,84.41,89.66,78.44
09,UTTAR PRADESH,02,Muzaffarnagar UA,UA,"4,94,792","2,61,338","2,33,454","64,696","35,120","29,576","3,39,129","1,90,126","1,49,003",893,842,78.85,84.05,73.08
09,UTTAR PRADESH,14,Mathura UA,UA,"4,54,937","2,44,333","2,10,604","56,267","30,495","25,772","3,07,427","1,77,630","1,29,797",862,845,77.11,83.07,70.22
09,UTTAR PRADESH,05,Rampur UA,UA,"3,49,062","1,82,325","1,66,737","41,769","21,742","20,027","1,83,011","1,00,067","82,944",915,921,59.56,62.31,56.54
09,UTTAR PRADESH,21,Shahjahanpur UA,UA,"3,46,103","1,83,087","1,63,016","38,736","20,602","18,134","2,14,573","1,20,079","94,494",890,880,69.81,73.90,65.22
09,UTTAR PRADESH,28,Farrukhabad-cum-Fatehgarh UA,UA,"2,90,540","1,54,630","1,35,910","33,944","18,220","15,724","1,93,997","1,08,989","85,008",879,863,75.60,79.90,70.73
09,UTTAR PRADESH,61,Maunath Bhanjan (NPP),City,"2,79,060","1,43,273","1,35,787","40,651","20,820","19,831","1,87,382","1,02,802","84,580",948,952,78.60,83.95,72.94
09,UTTAR PRADESH,09,Hapur (NPP),City,"2,62,801","1,39,694","1,23,107","36,714","19,822","16,892","1,70,325","98,394","71,931",881,852,75.34,82.08,67.72
09,UTTAR PRADESH,46,Faizabad UA,UA,"2,59,160","1,39,074","1,20,086","25,436","13,341","12,095","1,99,700","1,12,075","87,625",863,907,85.44,89.14,81.14
09,UTTAR PRADESH,30,Etawah (NPP),City,"2,56,790","1,35,829","1,20,961","28,922","15,521","13,401","1,88,887","1,04,612","84,275",891,863,82.89,86.95,78.35
09,UTTAR PRADESH,68,Mirzapur-cum-Vindhyachal UA,UA,"2,45,817","1,31,534","1,14,283","29,619","15,729","13,890","1,68,318","96,834","71,484",869,883,77.85,83.62,71.20
09,UTTAR PRADESH,11,Bulandshahr UA,UA,"2,35,310","1,23,549","1,11,761","30,886","16,966","13,920","1,60,203","90,761","69,442",905,820,78.37,85.16,70.97
09,UTTAR PRADESH,04,Sambhal (NPP),City,"2,21,334","1,16,008","1,05,326","34,279","17,702","16,577","92,608","51,382","41,226",908,936,49.51,52.27,46.45
09,UTTAR PRADESH,06,Amroha (NPP),City,"1,97,135","1,02,804","94,331","26,855","13,799","13,056","1,08,772","60,621","48,151",918,946,63.88,68.11,59.24
09,UTTAR PRADESH,24,Hardoi UA,UA,"1,97,046","1,04,201","92,845","21,719","11,528","10,191","1,45,999","81,593","64,406",891,884,83.27,88.04,77.92
09,UTTAR PRADESH,41,Fatehpur (NPP),City,"1,93,801","1,01,620","92,181","22,078","11,850","10,228","1,33,418","74,561","58,857",907,863,77.69,83.06,71.82
09,UTTAR PRADESH,27,Rae Bareli (NPP),City,"1,91,056","99,844","91,212","18,866","9,886","8,980","1,42,863","78,519","64,344",914,908,82.97,87.28,78.25
09,UTTAR PRADESH,34,Orai UA,UA,"1,90,625","1,01,434","89,191","20,424","11,075","9,349","1,41,856","81,026","60,830",879,844,83.35,89.67,76.19
09,UTTAR PRADESH,23,Sitapur UA,UA,"1,88,230","99,129","89,101","19,721","10,492","9,229","1,39,895","76,643","63,252",899,880,83.02,86.47,79.19
09,UTTAR PRADESH,49,Bahraich (NPP),City,"1,86,241","98,529","87,712","22,828","12,046","10,782","1,22,602","66,544","56,058",890,895,75.03,76.94,72.87
