WARD_NO,TOT_HH,POP_TOTAL_x,POP_M_x,POP_F_x,POP_SC_x,POP_ST_x,POP_LIT,POP_WORK,OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NAME,POP_M_y,POP_F_y,POP_SC_y,POP_ST_y,POP_TOTAL_y,AREA_SQ_KM,LAT,LON,RESERVATIO
46,7696,31449,16046,15403,2633,284,26399,12301,59.0,158,Hebbal,Jayachamarajendra Nagar,16353.0,14390.0,2465.0,272.0,30743.0,0.89,13.017171616744099,77.5959757654137,General
47,8941,42135,21936,20199,7645,418,28559,16403,62.0,159,Pulakeshi Nagar (SC),Devara Jeevanahalli,17296.0,16187.0,7021.0,167.0,33483.0,1.37,13.015453144296401,77.6027525099095,Scheduled Caste
48,7419,35814,18235,17579,7118,425,25356,12555,63.0,159,Pulakeshi Nagar (SC),Muneshwara Nagar,15557.0,14951.0,6605.0,33.0,30508.0,0.48,13.014160037514602,77.61097854099471,Scheduled Caste (Woman)
49,8850,37955,19056,18899,6579,1419,29653,14916,73.0,160,Sarvagna Nagar,Lingarajapura,16267.0,16108.0,5013.0,289.0,32375.0,0.89,13.009945940003801,77.6269718546523,General (Women)
50,12384,49094,26406,22688,10790,1225,37912,22549,76.0,161,C.V. Ramannagar (SC),Benniganahalli,17006.0,14979.0,7346.0,947.0,31985.0,4.92,12.999501678858499,77.6517042882124,Scheduled Caste
51,11087,46159,23667,22492,10819,755,36584,18945,4.0,151,K.R. Puram,Vijnanapura,18118.0,16969.0,6454.0,228.0,35087.0,2.05,13.0060632642652,77.6695653043393,Scheduled Caste
52,8961,35168,18081,17087,3563,933,28524,14711,187.0,151,K.R. Puram,K R Puram,13912.0,12573.0,2483.0,491.0,26485.0,5.12,13.017798403321901,77.69844406278291,General
53,11936,48585,25140,23445,7476,1008,36707,19676,5.0,151,K.R. Puram,Basavanapura,11494.0,10518.0,4115.0,325.0,22012.0,6.28,13.016847032688998,77.7154564678998,General
54,12579,50191,28201,21990,6964,1132,38041,23792,6.0,151,K.R. Puram,Hudi,11076.0,9624.0,4364.0,297.0,20700.0,15.3,13.022375521429,77.7054933252136,Backward Category - A
55,8638,33946,18302,15644,4851,771,26371,15274,7.0,151,K.R. Puram,Devasandra,11604.0,10453.0,3225.0,377.0,22057.0,3.52,13.001797353630302,77.6891215903739,Backward Category - B (Woman)
56,11039,43443,22637,20806,8354,622,34423,18226,8.0,151,K.R. Puram,A Narayanapura,15406.0,14014.0,5827.0,118.0,29420.0,2.15,12.9944744122469,77.6725826643836,Backward Category - A
57,16710,58815,30553,28262,4516,943,46673,27027,77.0,161,C.V. Ramannagar (SC),C V Raman Nagar,15822.0,13938.0,2710.0,640.0,29760.0,3.58,12.9839496974537,77.6652028542387,Backward Category - A
58,12200,43983,22819,21164,4473,794,35010,20369,78.0,161,C.V. Ramannagar (SC),New Tippasandara,18212.0,16365.0,2498.0,368.0,34577.0,3.34,12.9765036486498,77.6567910593107,General (Women)
59,10113,40362,19936,20426,10088,353,33359,16327,74.0,160,Sarvagna Nagar,Maruthi Seva Nagar,17862.0,17949.0,8453.0,89.0,35811.0,2.37,12.999921081914,77.63008061684471,Scheduled Caste
60,7340,35334,17533,17801,9985,336,26064,14167,64.0,159,Pulakeshi Nagar (SC),Sagayarapuram,17525.0,17349.0,10444.0,132.0,34874.0,0.77,13.0055771246835,77.61686594792279,Scheduled Caste
61,7941,38050,19413,18637,6497,541,27268,13916,65.0,159,Pulakeshi Nagar (SC),S K Garden,17387.0,16552.0,7226.0,88.0,33939.0,1.31,13.005327632683802,77.6070579867665,Scheduled Caste (Woman)
62,7530,34394,17305,17089,8666,268,26870,13349,83.0,162,Shivaji Nagar,Ramaswamy Palya,16855.0,15545.0,7046.0,116.0,32400.0,0.83,13.0059760284195,77.59907663901579,Scheduled Caste
63,4808,21728,10720,11008,3297,225,17958,8297,84.0,162,Shivaji Nagar,Jayamahal,12014.0,12051.0,3291.0,380.0,24065.0,1.44,12.995106709721599,77.5999310114007,General (Women)
64,7641,31118,15502,15616,3604,402,26172,12586,48.0,157,Malleswaram,Rajamahal Guttahalli,17243.0,16721.0,3922.0,250.0,33964.0,0.73,13.001372139530199,77.5790601846204,General (Women)
