WARD_NO,TOT_HH,POP_TOTAL_x,POP_M_x,POP_F_x,POP_SC_x,POP_ST_x,POP_LIT,POP_WORK,OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NAME,POP_M_y,POP_F_y,POP_SC_y,POP_ST_y,POP_TOTAL_y,AREA_SQ_KM,LAT,LON,RESERVATIO
135,7273,37599,19364,18235,163,89,24296,13034,127.0,168,Chamarajpet,Padarayanapura,18371.0,16842.0,378.0,110.0,35213.0,0.31,12.9637025463239,77.5488120504647,Backward Category A (Women)
136,7751,38639,19773,18866,6221,333,26509,14498,128.0,168,Chamarajpet,Jagajivanaramnagar,17570.0,16188.0,5330.0,342.0,33758.0,0.63,12.9605447475681,77.5519414463642,General (Women)
137,7549,36039,18319,17720,13639,458,26599,13644,129.0,168,Chamarajpet,Rayapuram,16928.0,16021.0,10777.0,233.0,32949.0,0.45,12.9649880815167,77.55637817862609,Scheduled Caste
138,4896,24801,12533,12268,13039,187,18655,9579,130.0,168,Chamarajpet,Chalavadipalya,13181.0,12138.0,12632.0,86.0,25319.0,0.4,12.9645793210376,77.56444822812959,Scheduled Caste
139,5903,29344,15128,14216,10480,349,20304,11421,131.0,168,Chamarajpet,K R Market,14982.0,13532.0,8845.0,360.0,28514.0,0.81,12.9639680609056,77.5718004624152,Scheduled Caste
140,7500,32213,16436,15777,1214,525,26545,12991,132.0,168,Chamarajpet,Chamrajapet,17193.0,16205.0,948.0,469.0,33398.0,1.03,12.9581840004128,77.5637756014863,Backward Category - A
141,9246,38825,19790,19035,2118,1480,29527,16191,133.0,168,Chamarajpet,Azad Nagar,18584.0,17157.0,2189.0,780.0,35741.0,0.67,12.9547171397323,77.554027303718,General (Women)
142,8643,34666,17687,16979,1366,327,29790,14022,136.0,169,Chickpet,Sunkenahalli,18645.0,17513.0,1966.0,243.0,36158.0,1.49,12.9486914803666,77.5678744056857,General
143,7361,32462,16316,16146,1766,346,27250,12345,137.0,169,Chickpet,Vishveshwara Puram,18362.0,17731.0,1744.0,188.0,36093.0,2.47,12.9504863664593,77.5798830579196,General
144,7396,34879,17622,17257,6803,751,24498,14559,138.0,169,Chickpet,Siddapura,16731.0,15463.0,4498.0,186.0,32194.0,0.66,12.9438446355212,77.5930164521246,General
145,8948,38309,19813,18496,3482,408,31305,15851,139.0,169,Chickpet,Hombegowda Nagara,18693.0,17762.0,3979.0,221.0,36455.0,1.41,12.950595775745699,77.59487402496259,General
146,7229,30667,15786,14881,5425,510,23587,12411,154.0,172,B.T.M. Layout,Lakkasandra,14909.0,13394.0,4562.0,422.0,28303.0,1.29,12.941109012420402,77.6048043772362,General
147,8236,34299,17717,16582,9039,1082,26265,14153,155.0,172,B.T.M. Layout,Adugodi,15676.0,14269.0,5381.0,411.0,29945.0,1.6,12.943238883261198,77.6130791124901,General
148,12575,47004,24717,22287,7231,953,39133,21409,156.0,172,B.T.M. Layout,Ejipura,15316.0,13789.0,4906.0,499.0,29105.0,1.61,12.942315916976499,77.6270336149298,General (Women)
149,14256,54625,28959,25666,8734,782,41368,23100,165.0,174,Mahadevapura,Varthuru,13033.0,12034.0,5581.0,183.0,25067.0,26.98,12.935373342925999,77.73361360649601,General
150,22368,80180,44031,36149,9060,1844,61305,42330,166.0,174,Mahadevapura,Bellanduru,10818.0,9708.0,5838.0,101.0,20526.0,26.37,12.9228741800138,77.6802085907247,Backward Category - B
151,9719,38316,19397,18919,4943,864,31793,18350,157.0,172,B.T.M. Layout,Koramangala,18434.0,16925.0,3246.0,232.0,35359.0,3.71,12.931340405170099,77.62464944608651,Backward Category A (Women)
152,10933,39997,21788,18209,3402,463,33075,19939,158.0,172,B.T.M. Layout,Suddagunte Palya,19341.0,16569.0,3193.0,299.0,35910.0,1.74,12.92997135113,77.60821471791371,General
153,8427,38151,19276,18875,4619,1082,29730,15662,140.0,169,Chickpet,Jayanagar,18173.0,17790.0,3743.0,220.0,35963.0,2.5,12.937633700074699,77.58941966959841,General (Women)
154,8624,32640,16222,16418,1022,415,28331,14346,143.0,170,Basavanagudi,Basavanagudi,18396.0,17619.0,956.0,159.0,36015.0,1.17,12.9373753661626,77.5687334210958,General
155,9483,36982,18870,18112,1522,573,30322,15339,141.0,170,Basavanagudi,Hanumanth Nagar,18137.0,16928.0,857.0,290.0,35065.0,0.99,12.947121502439499,77.5598838663128,General (Women)
156,10574,41379,21222,20157,748,886,33689,17521,142.0,170,Basavanagudi,Srinagar,18793.0,17252.0,272.0,156.0,36045.0,0.8,12.9453275336224,77.5534943697637,General
157,8668,34653,17967,16686,3161,672,26789,15794,125.0,167,Vijaya Nagar,Gali Anjenaya Temple ward,14466.0,12798.0,1874.0,309.0,27264.0,1.14,12.9501592455071,77.5446560301153,General
158,11676,45928,24007,21921,4267,781,33862,20835,126.0,167,Vijaya Nagar,Deepanjali Nagar,16655.0,14269.0,1776.0,367.0,30924.0,2.09,12.9445404293539,77.5362326389086,Backward Category A (Women)
159,10168,40771,21051,19720,3554,751,33011,16631,19.0,153,Yeshwantpura,Kengeri,12879.0,11991.0,2440.0,220.0,24870.0,4.77,12.915068552548401,77.4775276168771,General
160,14408,56897,29439,27458,3853,1535,45755,24660,23.0,154,Rajarajeswari Nagar,Rajarajeshwari Nagar,12092.0,11190.0,2605.0,306.0,23282.0,11.35,12.918757260331303,77.5221415116967,General
161,12122,46805,25173,21632,1889,530,37625,19699,147.0,171,Padmanaba Nagar,Hosakerehalli,11041.0,10144.0,1192.0,285.0,21185.0,1.34,12.9277969317167,77.5395058294504,General
162,11180,43195,21843,21352,863,483,37063,18897,144.0,170,Basavanagudi,Girinagar,18208.0,16704.0,474.0,125.0,34912.0,1.77,12.9376240163993,77.54557549365829,General (Women)
163,11997,45572,23340,22232,827,618,38561,19663,145.0,170,Basavanagudi,Katriguppe,18769.0,16967.0,574.0,167.0,35736.0,1.11,12.9316414559219,77.5522232871992,Backward Category - A
164,11425,43483,22546,20937,2300,745,35771,18769,146.0,170,Basavanagudi,Vidyapeeta ward,18083.0,16452.0,1261.0,357.0,34535.0,34535.0,12.934200452023301,77.55947625867341,Backward Category - A
165,6472,25998,12983,13015,809,247,22553,10790,148.0,171,Padmanaba Nagar,Ganesh Mandir ward,11988.0,11113.0,652.0,179.0,23101.0,1.63,12.924803144905601,77.5640458573888,Backward Category - A
166,6492,27040,13619,13421,2117,444,20262,11569,149.0,171,Padmanaba Nagar,Karisandra,15445.0,14761.0,2575.0,365.0,30206.0,1.1,12.924352423524198,77.57401694572559,General (Women)
167,8455,32756,16532,16224,1344,556,28085,13745,150.0,171,Padmanaba Nagar,Yediyur,17857.0,16734.0,1111.0,180.0,34591.0,1.23,12.934251739138999,77.57608048285181,Backward Category - A
168,7163,28353,14172,14181,1754,299,24629,11281,162.0,173,Jaya Nagar,Pattabhiram Nagar,15751.0,15238.0,1473.0,179.0,30989.0,1.75,12.924545012876802,77.58754543988991,General
169,7423,32066,16296,15770,4886,274,25300,13390,163.0,173,Jaya Nagar,Byrasandra,15760.0,14878.0,3767.0,73.0,30638.0,0.87,12.931597838075302,77.58894036974529,Backward Category - A
170,7961,33927,17282,16645,5997,382,26951,14422,189.0,173,Jaya Nagar,Jayanagar East,15964.0,14882.0,5274.0,188.0,30846.0,1.01,12.921106370181699,77.5986397560155,Backward Category - A
171,10513,48991,25325,23666,1470,1008,37950,18431,190.0,173,Jaya Nagar,Gurappanapalya,18839.0,16989.0,950.0,87.0,35828.0,0.68,12.922866401542,77.6046151492465,General
172,11517,42624,23282,19342,3197,745,35671,20277,194.0,172,B.T.M. Layout,Madivala,19121.0,16034.0,2658.0,555.0,35155.0,1.16,12.920018234887099,77.6144183930996,Backward Category - A
173,9040,33521,18009,15512,3641,942,27948,15047,160.0,172,B.T.M. Layout,Jakkasandra,13045.0,11043.0,2829.0,536.0,24088.0,1.52,12.9205909717835,77.6309886977238,General (Women)
174,16847,63033,32656,30377,5681,925,50002,30718,171.0,175,Bommana Halli,HSR Layout,13215.0,11534.0,2723.0,303.0,24749.0,6.98,12.913717861836199,77.64642587500191,General (Women)
175,11368,43585,23005,20580,4241,557,33741,21811,172.0,175,Bommana Halli,Bommanahalli,13065.0,11242.0,2767.0,138.0,24307.0,1.85,12.900741105779199,77.62121175707159,General
176,14540,52250,27937,24313,3897,644,43301,25978,161.0,172,B.T.M. Layout,BTM Layout,18502.0,15934.0,1512.0,247.0,34436.0,2.13,12.9118377209653,77.60934528755641,General
177,7566,28846,14679,14167,3399,415,24375,13075,193.0,173,Jaya Nagar,J P Nagar,14747.0,13761.0,2497.0,457.0,28508.0,1.79,12.910881756962599,77.59450676549851,Backward Category - A
178,7985,31034,15864,15170,1945,394,26374,13448,159.0,173,Jaya Nagar,Sarakki,13870.0,12837.0,1379.0,173.0,26707.0,1.34,12.9079402946364,77.5829497522443,General
179,6537,25871,13179,12692,500,302,22487,12159,164.0,173,Jaya Nagar,Shakambari Nagar,11733.0,11506.0,607.0,162.0,23239.0,1.85,12.9170881910162,77.5797747306037,Backward Category - A
180,9461,42171,21525,20646,3271,1487,28560,18108,151.0,171,Padmanaba Nagar,Banashankari Temple ward,17451.0,16571.0,2548.0,494.0,34022.0,0.68,12.9133515290769,77.5698323279022,General
181,11881,47182,24414,22768,2274,567,38495,19931,152.0,171,Padmanaba Nagar,Kumaraswamy Layout,18649.0,16735.0,1428.0,426.0,35384.0,1.87,12.9069901964838,77.5618576805592,Backward Category - A
182,10771,41037,20855,20182,1875,281,34066,16684,153.0,171,Padmanaba Nagar,Padmanabha Nagar,13131.0,12323.0,1150.0,111.0,25454.0,1.68,12.9135013256266,77.5560571929402,General
183,11403,43364,22206,21158,745,410,34648,18827,191.0,171,Padmanaba Nagar,Chikkalsandra,12995.0,11682.0,519.0,145.0,24677.0,1.09,12.9216847932897,77.548407399626,General
184,14675,57209,29935,27274,6344,1200,43717,25161,180.0,176,Bangalore South,Uttarahalli,11461.0,10384.0,3960.0,449.0,21845.0,8.99,12.9002644029525,77.53708094539459,Backward Category - A
185,11338,46943,24623,22320,2873,437,35593,19410,181.0,176,Bangalore South,Yelchenahalli,14896.0,13104.0,2108.0,249.0,28000.0,1.58,12.900228676117498,77.5670140722376,Backward Category - A
186,9818,38294,20044,18250,1487,733,30635,17025,173.0,175,Bommana Halli,Jaraganahalli,12519.0,10780.0,830.0,248.0,23299.0,1.28,12.9004208934461,77.5774880640308,General (Women)
187,13230,49207,25666,23541,2041,666,39117,22061,174.0,175,Bommana Halli,Puttenahalli,11094.0,9450.0,1176.0,383.0,20544.0,2.87,12.8973177493566,77.5906030466232,Backward Category - A
188,13186,49884,26149,23735,4301,523,39297,22694,175.0,175,Bommana Halli,Bilekhalli,12050.0,10460.0,3988.0,260.0,22510.0,4.24,12.8991566741957,77.61015896222779,General (Women)
189,18192,68554,36812,31742,3639,1280,53571,38626,176.0,175,Bommana Halli,Hongasandra,12307.0,10751.0,1529.0,282.0,23058.0,2.16,12.8967688850618,77.6275171672937,Backward Category - B (Woman)
190,16903,65890,35202,30688,5464,1527,48615,34274,177.0,175,Bommana Halli,Mangammanapalya,14625.0,12766.0,1918.0,159.0,27391.0,3.52,12.896166744693598,77.64182308884841,Backward Category A (Women)
191,18214,71004,40347,30657,9644,1714,54140,34577,178.0,175,Bommana Halli,Singasandra,11669.0,9741.0,2955.0,148.0,21410.0,9.42,12.8811660685851,77.65765532987841,General (Women)
192,21322,80037,42157,37880,7262,1375,61098,39729,182.0,176,Bangalore South,Begur,9899.0,9388.0,3488.0,148.0,19287.0,18.8,12.8649996624606,77.6220696892561,Backward Category - B
193,15272,58355,30522,27833,5190,1094,45436,31525,179.0,175,Bommana Halli,Arakere,13429.0,11574.0,3311.0,258.0,25003.0,6.45,12.879219913584098,77.602883732267,General
194,13457,51911,26838,25073,7276,779,38586,22779,183.0,176,Bangalore South,Gottigere,11402.0,10124.0,3487.0,891.0,21526.0,6.49,12.860591262874598,77.5821324498369,Backward Category - B (Woman)
195,14984,57335,29504,27831,2219,537,46085,25446,184.0,176,Bangalore South,Konankunte,10662.0,9519.0,1032.0,173.0,20181.0,3.42,12.885774827440901,77.5799014456152,General (Women)
196,11049,45608,23474,22134,4091,549,31936,19194,185.0,176,Bangalore South,Anjanapura,10787.0,10293.0,2671.0,226.0,21080.0,11.92,12.8595876761862,77.5632856881322,General
197,16079,62057,32212,29845,5280,1117,48854,27907,192.0,176,Bangalore South,Vasanthpura,13057.0,11465.0,2425.0,483.0,24522.0,5.34,12.8914219220501,77.556846034107,General (Women)
198,12687,50440,26172,24268,6456,832,37899,21182,198.0,153,Yeshwantpura,Hemmigepura,12926.0,11385.0,3997.0,319.0,24311.0,28.59,12.8919033428845,77.50501296691431,Backward Category A (Women)
