OBJECTID,ASS_CONST_,ASS_CONST1,WARD_NO,WARD_NAME,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK,AREA_SQ_KM,LAT,LON,RESERVATIO
10,151,K.R. Puram,87,HAL Airport,10044,39926,20925,19001,6793,1113,31509,16457,6.8,12.95653657,77.67150151,General
81,161,C.V. Ramannagar (SC),88,Jeevanbhima Nagar,9741,38251,19425,18826,9311,678,30801,16818,1.89,12.96465164,77.65003285,Scheduled Caste
95,163,Shanthi Nagar,89,Jogupalya,8806,33793,16989,16804,3861,659,28542,14541,0.91,12.97372453,77.63259397,General
85,162,Shivaji Nagar,90,Halsoor,7771,35090,19627,15463,8566,369,29815,16802,1.68,12.97970433,77.61982213,Scheduled Caste
86,162,Shivaji Nagar,91,Bharathi Nagar,7074,32689,16493,16196,2007,157,27045,11471,0.78,12.98701441,77.61104036,General
87,162,Shivaji Nagar,92,Shivaji Nagar,7276,37506,19324,18182,2379,152,29424,12723,0.43,12.98870168,77.60587284,Backward Category A (Women)
88,162,Shivaji Nagar,93,Vasanth Nagar,5304,22815,11039,11776,2757,243,19873,9339,3.12,12.98913111,77.5858047,General
100,164,Gandhi Nagar,94,Gandhinagar,6599,31208,17306,13902,6377,263,25422,13224,1.93,12.98156481,77.57566501,General
101,164,Gandhi Nagar,95,Subhash Nagar,8711,37693,19313,18380,16365,607,27892,16569,1.32,12.9826668,77.56862746,Scheduled Caste
102,164,Gandhi Nagar,96,Okalipuram,8693,38110,19481,18629,6637,357,28898,16137,0.83,12.98278373,77.56381662,Scheduled Caste (Woman)
107,165,Rajaji Nagar,97,Dayananda Nagar,8253,35721,18163,17558,11005,245,28454,15565,0.45,12.99109706,77.56419467,Scheduled Caste (Woman)
108,165,Rajaji Nagar,98,Prakash Nagar,8276,32913,16837,16076,1979,184,27169,12836,0.56,12.99309422,77.55822122,General
109,165,Rajaji Nagar,99,Rajaji Nagar,8398,33084,16969,16115,2322,361,27496,13728,0.86,12.99459884,77.55019259,Backward Category - A
103,165,Rajaji Nagar,100,Basaveshwara Nagar,7495,30333,15465,14868,1820,529,25409,12810,0.84,12.99080844,77.54213012,Backward Category - A
104,165,Rajaji Nagar,101,Kamakshipalya,7482,30051,15700,14351,2538,456,24833,12835,0.91,12.98679757,77.5338707,General
38,156,Mahalakshmi Layout,102,Vrisabhavathi Nagar,13443,50893,27129,23764,2041,831,39634,24334,0.99,12.98977242,77.52587903,Backward Category A (Women)
110,166,Govindaraja Nagar,103,Kaveripura,14168,53532,28684,24848,1959,1138,42442,25022,1.64,12.97974227,77.52489788,Backward Category - A
111,166,Govindaraja Nagar,104,Govindaraja Nagar,6678,26873,13862,13011,2723,467,22410,11117,0.77,12.97711641,77.53668248,Backward Category - A
112,166,Govindaraja Nagar,105,Agrahara Dasarahalli,7192,28355,14614,13741,3225,599,23278,12259,0.8,12.9804974,77.54153539,Backward Category A (Women)
113,166,Govindaraja Nagar,106,Dr. Raj Kumar Ward,6077,24181,12517,11664,2158,678,20292,10519,0.99,12.97965417,77.54847536,General
105,165,Rajaji Nagar,107,Shivanagara,9260,36461,19071,17390,1197,510,31031,15995,0.78,12.98850359,77.54952005,General
106,165,Rajaji Nagar,108,Sriramamandir,8156,33866,17274,16592,1577,301,29178,14002,1.06,12.98376731,77.55589088,Backward Category A (Women)
96,164,Gandhi Nagar,109,Chickpete,6842,33292,17629,15663,277,185,27525,12158,0.71,12.97068774,77.57709789,General
82,162,Shivaji Nagar,110,Sampangiram Nagar,6423,27504,13999,13505,1890,155,23139,11017,4.45,12.97679457,77.59537203,Backward Category - A
89,163,Shanthi Nagar,111,Shantala Nagar,5493,22995,11518,11477,3178,291,20131,9700,3.99,12.96986666,77.60646429,General
90,163,Shanthi Nagar,112,Domlur,7844,30638,15497,15141,6055,762,25807,13005,1.75,12.96336148,77.63804041,General (Women)
75,161,C.V. Ramannagar (SC),113,Konena Agrahara,10725,38108,19995,18113,4576,306,31640,18567,2.12,12.95577975,77.65220473,General
91,163,Shanthi Nagar,114,Agaram,7734,36916,21259,15657,11469,270,32112,17913,11.26,12.9442634,77.63904669,Scheduled Caste (Woman)
92,163,Shanthi Nagar,115,Vannarpet,8466,37060,18685,18375,10668,1274,29878,15016,0.74,12.95420928,77.61894094,Scheduled Caste
93,163,Shanthi Nagar,116,Nilasandra,10743,48534,25323,23211,8950,643,36043,20245,0.54,12.95115994,77.61464413,Scheduled Tribe
94,163,Shanthi Nagar,117,Shanthi Nagar,9465,42095,22237,19858,6246,649,34332,18144,2.7,12.95732365,77.60370505,General (Women)
134,169,Chickpet,118,Sudham Nagara,5953,28784,14447,14337,10840,297,19257,12509,1.01,12.95933491,77.58619271,Scheduled Caste (Woman)
135,169,Chickpet,119,Dharmaraya Swamy Temple,5485,27076,14156,12920,1990,150,21471,9850,1.1,12.96313333,77.58051058,Backward Category - A
97,164,Gandhi Nagar,120,Cottonpete,8652,37344,19213,18131,5438,446,28524,14910,0.76,12.97035881,77.56628715,Backward Category A (Women)
98,164,Gandhi Nagar,121,Binnipete,9061,37354,19156,18198,4561,981,29240,15957,0.77,12.97179842,77.55909691,Backward Category A (Women)
119,167,Vijaya Nagar,122,Kempapura Agrahara,10051,40032,20374,19658,1073,2395,28755,18454,0.36,12.97231262,77.55547938,Backward Category A (Women)
120,167,Vijaya Nagar,123,Vijayanagar,9943,40331,20905,19426,1897,606,33360,17162,0.73,12.97209255,77.54704383,General
121,167,Vijaya Nagar,124,Hosahalli,9068,37347,18944,18403,4817,851,29140,16097,0.89,12.96766915,77.54381199,Backward Category - A
114,166,Govindaraja Nagar,125,Marenahalli,5423,21171,10838,10333,748,215,18391,9230,0.69,12.97188926,77.53284364,Backward Category A (Women)
115,166,Govindaraja Nagar,126,Maruthi Mandir ward,7716,29319,15225,14094,1468,356,24628,12938,0.79,12.96671055,77.52846435,General
116,166,Govindaraja Nagar,127,Mudalapalya,11125,43729,22625,21104,2362,797,34105,19206,0.98,12.96923922,77.52164058,Backward Category A (Women)
117,166,Govindaraja Nagar,128,Nagarabhavi,8255,35780,18239,17541,3020,490,26638,14997,1.6,12.95584273,77.51936615,General
188,154,Rajarajeswari Nagar,129,Jnana Bharathi ward,17410,68132,35366,32766,7659,1819,54391,28464,12.19,12.9593058,77.50178799,Backward Category - B
18,153,Yeshwantpura,130,Ullalu,14511,58199,30069,28130,7461,1365,43375,24050,8.92,12.94671614,77.48461819,Backward Category - A
118,166,Govindaraja Nagar,131,Nayandahalli,10285,42785,22051,20734,5309,704,29956,21144,2.07,12.94514088,77.51996074,General (Women)
122,167,Vijaya Nagar,132,Attiguppe,10576,41487,21447,20040,2268,424,34583,17295,1.39,12.95811171,77.52930893,General
123,167,Vijaya Nagar,133,Hampi Nagar,8456,35113,17900,17213,4082,807,28220,14292,1.11,12.95994919,77.53761459,General
124,167,Vijaya Nagar,134,Bapuji Nagar,10647,49484,25763,23721,2456,632,36583,20011,0.68,12.9579761,77.54322141,Backward Category - A
127,168,Chamarajpet,135,Padarayanapura,7273,37599,19364,18235,163,89,24296,13034,0.31,12.96370255,77.54881205,Backward Category A (Women)
128,168,Chamarajpet,136,Jagajivanaramnagar,7751,38639,19773,18866,6221,333,26509,14498,0.63,12.96054475,77.55194145,General (Women)
129,168,Chamarajpet,137,Rayapuram,7549,36039,18319,17720,13639,458,26599,13644,0.45,12.96498808,77.55637818,Scheduled Caste
130,168,Chamarajpet,138,Chalavadipalya,4896,24801,12533,12268,13039,187,18655,9579,0.4,12.96457932,77.56444823,Scheduled Caste
131,168,Chamarajpet,139,K R Market,5903,29344,15128,14216,10480,349,20304,11421,0.81,12.96396806,77.57180046,Scheduled Caste
132,168,Chamarajpet,140,Chamrajapet,7500,32213,16436,15777,1214,525,26545,12991,1.03,12.958184,77.5637756,Backward Category - A
133,168,Chamarajpet,141,Azad Nagar,9246,38825,19790,19035,2118,1480,29527,16191,0.67,12.95471714,77.5540273,General (Women)
136,169,Chickpet,142,Sunkenahalli,8643,34666,17687,16979,1366,327,29790,14022,1.49,12.94869148,77.56787441,General
137,169,Chickpet,143,Vishveshwara Puram,7361,32462,16316,16146,1766,346,27250,12345,2.47,12.95048637,77.57988306,General
138,169,Chickpet,144,Siddapura,7396,34879,17622,17257,6803,751,24498,14559,0.66,12.94384464,77.59301645,General
139,169,Chickpet,145,Hombegowda Nagara,8948,38309,19813,18496,3482,408,31305,15851,1.41,12.95059578,77.59487402,General
154,172,B.T.M. Layout,146,Lakkasandra,7229,30667,15786,14881,5425,510,23587,12411,1.29,12.94110901,77.60480438,General
155,172,B.T.M. Layout,147,Adugodi,8236,34299,17717,16582,9039,1082,26265,14153,1.6,12.94323888,77.61307911,General
156,172,B.T.M. Layout,148,Ejipura,12575,47004,24717,22287,7231,953,39133,21409,1.61,12.94231592,77.62703361,General (Women)
165,174,Mahadevapura,149,Varthuru,14256,54625,28959,25666,8734,782,41368,23100,26.98,12.93537334,77.73361361,General
166,174,Mahadevapura,150,Bellanduru,22368,80180,44031,36149,9060,1844,61305,42330,26.37,12.92287418,77.68020859,Backward Category - B
157,172,B.T.M. Layout,151,Koramangala,9719,38316,19397,18919,4943,864,31793,18350,3.71,12.93134041,77.62464945,Backward Category A (Women)
158,172,B.T.M. Layout,152,Suddagunte Palya,10933,39997,21788,18209,3402,463,33075,19939,1.74,12.92997135,77.60821472,General
140,169,Chickpet,153,Jayanagar,8427,38151,19276,18875,4619,1082,29730,15662,2.5,12.9376337,77.58941967,General (Women)
143,170,Basavanagudi,154,Basavanagudi,8624,32640,16222,16418,1022,415,28331,14346,1.17,12.93737537,77.56873342,General
141,170,Basavanagudi,155,Hanumanth Nagar,9483,36982,18870,18112,1522,573,30322,15339,0.99,12.9471215,77.55988387,General (Women)
142,170,Basavanagudi,156,Srinagar,10574,41379,21222,20157,748,886,33689,17521,0.8,12.94532753,77.55349437,General
125,167,Vijaya Nagar,157,Gali Anjenaya Temple ward,8668,34653,17967,16686,3161,672,26789,15794,1.14,12.95015925,77.54465603,General
126,167,Vijaya Nagar,158,Deepanjali Nagar,11676,45928,24007,21921,4267,781,33862,20835,2.09,12.94454043,77.53623264,Backward Category A (Women)
19,153,Yeshwantpura,159,Kengeri,10168,40771,21051,19720,3554,751,33011,16631,4.77,12.91506855,77.47752762,General
23,154,Rajarajeswari Nagar,160,Rajarajeshwari Nagar,14408,56897,29439,27458,3853,1535,45755,24660,11.35,12.91875726,77.52214151,General
147,171,Padmanaba Nagar,161,Hosakerehalli,12122,46805,25173,21632,1889,530,37625,19699,1.34,12.92779693,77.53950583,General
144,170,Basavanagudi,162,Girinagar,11180,43195,21843,21352,863,483,37063,18897,1.77,12.93762402,77.54557549,General (Women)
145,170,Basavanagudi,163,Katriguppe,11997,45572,23340,22232,827,618,38561,19663,1.11,12.93164146,77.55222329,Backward Category - A
146,170,Basavanagudi,164,Vidyapeeta ward,11425,43483,22546,20937,2300,745,35771,18769,34535,12.93420045,77.55947626,Backward Category - A
148,171,Padmanaba Nagar,165,Ganesh Mandir ward,6472,25998,12983,13015,809,247,22553,10790,1.63,12.92480314,77.56404586,Backward Category - A
149,171,Padmanaba Nagar,166,Karisandra,6492,27040,13619,13421,2117,444,20262,11569,1.1,12.92435242,77.57401695,General (Women)
