WARD_NO,TOT_HH,POP_TOTAL,POP_M,POP_F,POP_SC,POP_ST,POP_LIT,POP_WORK
0162,11180,43195,21843,21352,863,483,37063,18897
0163,11997,45572,23340,22232,827,618,38561,19663
0164,11425,43483,22546,20937,2300,745,35771,18769
0165,6472,25998,12983,13015,809,247,22553,10790
0166,6492,27040,13619,13421,2117,444,20262,11569
0167,8455,32756,16532,16224,1344,556,28085,13745
0168,7163,28353,14172,14181,1754,299,24629,11281
0169,7423,32066,16296,15770,4886,274,25300,13390
0170,7961,33927,17282,16645,5997,382,26951,14422
0171,10513,48991,25325,23666,1470,1008,37950,18431
0172,11517,42624,23282,19342,3197,745,35671,20277
0173,9040,33521,18009,15512,3641,942,27948,15047
0174,16847,63033,32656,30377,5681,925,50002,30718
0175,11368,43585,23005,20580,4241,557,33741,21811
0176,14540,52250,27937,24313,3897,644,43301,25978
0177,7566,28846,14679,14167,3399,415,24375,13075
0178,7985,31034,15864,15170,1945,394,26374,13448
0179,6537,25871,13179,12692,500,302,22487,12159
0180,9461,42171,21525,20646,3271,1487,28560,18108
0181,11881,47182,24414,22768,2274,567,38495,19931
0182,10771,41037,20855,20182,1875,281,34066,16684
0183,11403,43364,22206,21158,745,410,34648,18827
0184,14675,57209,29935,27274,6344,1200,43717,25161
0185,11338,46943,24623,22320,2873,437,35593,19410
0186,9818,38294,20044,18250,1487,733,30635,17025
0187,13230,49207,25666,23541,2041,666,39117,22061
0188,13186,49884,26149,23735,4301,523,39297,22694
0189,18192,68554,36812,31742,3639,1280,53571,38626
0190,16903,65890,35202,30688,5464,1527,48615,34274
0191,18214,71004,40347,30657,9644,1714,54140,34577
0192,21322,80037,42157,37880,7262,1375,61098,39729
0193,15272,58355,30522,27833,5190,1094,45436,31525
0194,13457,51911,26838,25073,7276,779,38586,22779
0195,14984,57335,29504,27831,2219,537,46085,25446
0196,11049,45608,23474,22134,4091,549,31936,19194
0197,16079,62057,32212,29845,5280,1117,48854,27907
0198,12687,50440,26172,24268,6456,832,37899,21182
